I_H[mA],V_H[mV]
0.0,0.0
1.0,1.0
2.0,2.0
3.0,2.9
4.0,3.8
5.0,4.8
6.0,5.8
7.0,6.8
8.0,7.8
9.0,8.9
10.0,10.0
